1,0.27419,0.16189,-0.32735,-0.41568,-0.17883,-0.21656,-0.2851,-0.59398,-0.19648,-0.32548,-0.47303,-0.48627,0.273,-0.21701,-0.1022,-0.1989,0.41234,-0.25557,-0.51798,-0.16532,0.4166,-0.86164,0.085501,-1.3484,-1.846,-0.6537,0.40581,0.62347,0.67285,0.70748,-1.5803
2,-0.19349,0.52176,0.039705,0.38579,0.50527,0.55196,0.34435,0.34215,0.741,0.66178,0.47288,0.12608,0.90006,1.0041,0.86925,0.96397,1.1354,1.1852,0.34791,0.32062,-0.1624,0.15761,0.29034,0.2098,-0.39922,0.047083,0.71002,0.74379,1.2226,0.85598,0.41743
3,0.33736,0.86583,0.79531,0.46083,0.33426,0.29791,0.68271,0.69108,0.54632,0.18642,0.25244,0.51399,0.62654,1.3438,0.72797,0.93844,0.66311,1.1028,0.43973,0.62058,0.16036,-0.015278,0.48238,-0.68192,0.64552,0.61782,1.0941,0.76096,1.883,1.7443,-0.40589
4,2.3547,4.6204,1.5437,1.2637,3.2565,2.1683,3.2235,3.0107,3.4799,3.6448,1.3497,1.4947,2.4741,3.4796,3.2056,3.5224,2.8751,3.8985,2.5624,2.3789,0.92273,2.2886,2.1202,1.9886,0.7914,0.16446,1.9327,2.3464,7.247,4.4378,2.6481
5,2.0381,0.78597,2.0474,1.7788,0.45613,0.30376,1.2117,1.1978,1.2429,1.4054,0.98251,1.1235,2.3478,2.1281,1.7948,2.1497,2.9846,2.6887,1.3269,1.2217,2.8849,2.7397,1.7551,0.81185,0.070004,-0.23503,1.3141,1.7132,0.4556,0.056744,2.0925
6,1.02,0.94943,0.40012,0.057707,-0.36982,-0.16833,0.4188,0.20211,0.12966,0.68722,0.4235,0.23464,0.32579,0.2267,0.28858,0.23786,0.34276,0.090697,0.52273,0.69639,0.80681,0.65326,0.63621,-0.14806,-0.86846,0.82013,0.82276,1.0408,1.9864,0.91313,0.048906
7,0.3801,-0.49769,-0.26832,-0.93179,-0.57721,-0.62276,0.4914,0.23435,-0.0055189,-0.43744,-0.23881,0.051316,1.4868,1.4592,0.8494,0.99858,1.5141,1.319,-1.6071,-0.94558,1.0027,-0.94191,0.98045,-1.1381,-3.0633,-1.3656,-0.15911,-0.090438,-1.2308,-0.61099,-0.79019
8,1.4011,1.2569,0.90336,0.41597,-0.6221,-1.0833,0.58669,0.014659,-0.46271,-0.064665,-0.17816,0.33804,0.7188,0.82487,0.0040925,0.039912,0.37737,0.36967,1.7835,2.2185,0.76468,-0.55818,0.33092,-1.3161,1.9237,5.3515,1.4365,0.95595,2.6557,3.4439,0.29419
9,0.52082,0.34011,1.0168,0.47125,-0.74178,-0.58796,-0.32802,0.069002,-0.31673,-0.24814,-0.16702,0.036852,0.077441,0.29652,0.13625,0.18458,0.053634,0.25697,0.19244,0.084862,0.47789,0.73954,0.45863,-0.19355,0.12968,0.44606,0.12796,0.015106,0.51045,1.2396,0.34851
10,-1.2602,0.30214,0.65571,0.86119,-0.04923,0.27454,0.13221,0.39754,0.21504,-0.28223,0.044375,-0.088023,0.5893,0.62618,0.46719,0.60181,0.47169,0.75832,0.49078,0.4467,0.3355,0.70509,0.34532,-0.019359,-0.41429,-0.34037,0.017457,0.62721,-0.30502,-0.4217,1.4891
